Template_Name,Vehicle_ID,Vehicle_Name,Template_ID,Manufacturer_ID,Manufacturer_Name,Tech_Tier_ID,Tech_Tier_Name,Domain,Family,Vehicle_Type,Size_Class,Role,Genre_Tag,Lift_Mode,Propulsion,Power_Source,Hull_Type,Crew_Min,Crew_Std,Passenger_Cap,Cargo_t,Length_m,Beam_m,Height_m,Mass_t,Local_Cruise_kph,Water_Cruise_kph,Dive_Depth_m,Vacuum_DeltaV_kps,FTL_pc_day,Range_km,Endurance_days,Agility,Sensors,Stealth,Armor,Shields,HP,Hardpoints,Option_Slots,Operating_Cost_cr_day,Maintenance_Hours_100h,Availability,Legal_Class,Default_Option_1_ID,Default_Option_1,Option_1_Cost_cr,Default_Option_2_ID,Default_Option_2,Option_2_Cost_cr,Default_Option_3_ID,Default_Option_3,Option_3_Cost_cr,Base_Price_cr,Total_Price_cr,Notes,Source_Note,Weapon_Profile_1_ID,Weapon_Profile_1,Weapon_Profile_2_ID,Weapon_Profile_2,Default_Loadout_Cost_cr,Combat_Rating,Threat_Rating,Primary_Faction_Tag,Secondary_Faction_Tag,Civilian_Use_Tag,Rarity_Score,Rarity,Vendor_ID,Vendor_Name,Vendor_Class,Economy_Band,Acquisition_Tier,License_Requirement,Upkeep_Band,Campaign_Balance_Points,Encounter_Role,Salvage_Value_cr,Refit_Cap_cr,Crew_Quality_Minimum,Evennia_Typeclass,Prototype_Key,Vehicle_Slug,Domain_Slug,Family_Slug,Vehicle_Type_Slug,Role_Slug,Tech_Tier_Slug,Availability_Slug,Legal_Class_Slug,Rarity_Slug,Economy_Band_Slug,Encounter_Role_Slug,Lockstring,Spawn_Location_Tag,Home_Tag,Import_Action,Active
Flying carpet,V-PFL-FC-AER-T5,Aetherion Flying carpet Mk V,PFL-FC,AER,Aetherion Guild,5,Military,Aerial,Personal Flight,Flying carpet,Personal,covert / luxury,Fantasy / Arcane,Flight,Bound wind spirits,Antimatter / Gravitic,Silk weave with sigils,1,2,1,0.05,1.9,0.8,0.5,0.14,131,0,0,0.0,0.0,98,0.6,10,5,9,2,4,10,2,4,152,4.1,Uncommon,Civilian,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-31-T5,Probe Bay Mk V,5670,8017,26388,"Flying carpet base frame in the personal flight family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.2,6.2,HOUSE,CIV,civilian,22,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.2,Line,5805,5278,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/pfl-fc,aetherion-flying-carpet-mk-v,aerial,personal-flight,flying-carpet,covert-luxury,military,uncommon,civilian,common,crew,line,,,,upsert,True
Forest strider,V-WKR-FS-AER-T5,Aetherion Forest strider Mk V,WKR-FS,AER,Aetherion Guild,5,Military,Surface,Walker Frames,Forest strider,Light,colonial / exploration,Sci-Fi / Fantasy,Walker,Servo limbs,Antimatter / Gravitic,Articulated frame,2,3,5,2.26,6.8,4.0,5.8,7.28,79,11,0,0.0,0.0,588,6.5,8,7,4,6,4,62,4,6,560,8.9,Rare,Restricted,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-29-T5,Long-Range Tankage Mk V,5216,93483,113441,"Forest strider base frame in the walker frames family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,11.7,20.7,NAVY,SEC,restricted,34,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,24.7,Line,22688,31763,Regular,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/wkr-fs,aetherion-forest-strider-mk-v,surface,walker-frames,forest-strider,colonial-exploration,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Freighter,V-AIR-FR-AER-T5,Aetherion Freighter Mk V,AIR-FR,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Freighter,Heavy,bulk atmospheric cargo,Aviation / Sci-Fi,Flight,Turbine / gravitic,Antimatter / Gravitic,Aero hull,3,5,10,28.79,15.0,16.0,4.8,11.07,353,0,0,0.0,0.0,1613,3.4,7,6,5,4,4,82,6,7,1538,13.4,Rare,Restricted,OPT-21-T5,Field Med Bay Mk V,9979,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-29-T5,Long-Range Tankage Mk V,5216,307250,337548,"Freighter base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-307,Point Defense Grid Mk 5-H,WL-267,Boarding Pod Rack Mk 5-H,62618,16.3,25.3,MINE,DRIFT,civilian,38,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,29.6,Line,67510,94513,Regular,typeclasses.vehicles.Aircraft,vehicle/aerial/air-fr,aetherion-freighter-mk-v,aerial,atmospheric-craft,freighter,bulk-atmospheric-cargo,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Frigate,V-SPC-FG-AER-T5,Aetherion Frigate Mk V,SPC-FG,AER,Aetherion Guild,5,Military,Space,Starships,Frigate,Capital,fleet escort,Space Opera,Vacuum,Fusion torch / gravitic,Antimatter / Gravitic,Starship hull,34,47,48,24.68,47.5,20.7,9.1,837.0,198,0,0,14.2,0.7,111200,58.0,8,8,5,8,6,595,10,10,10554,114.4,Very Rare,Military,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-26-T5,Boarding Tube Mk V,7484,OPT-04-T5,Hydrojet Overdrive Mk V,5897,1766034,1787353,"Frigate base frame in the starships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-343,Siege Beam Mk 4-C,WL-333,Siege Beam Mk 2-C,326488,45.5,56.5,NAVY,SEC,restricted,54,Rare,VEN-007,Guild Forge 1,shipyard,Industrial,Tier 3 - licensed capital,Military,Moderate,60.7,Siege,321724,500459,Veteran,typeclasses.vehicles.Spacecraft,vehicle/space/spc-fg,aetherion-frigate-mk-v,space,starships,frigate,fleet-escort,military,very-rare,military,rare,industrial,siege,,,,upsert,True
Galactic destroyer,V-CAP-GD-AER-T5,Aetherion Galactic destroyer Mk V,CAP-GD,AER,Aetherion Guild,5,Military,Space,Capital Ships,Galactic destroyer,Titanic,sector intimidation platform,Epic Space Opera,Vacuum,Capital-grade drives,Antimatter / Gravitic,Citadel hull,578,784,1140,431.92,433.9,113.6,60.3,83700.0,129,0,0,10.0,0.6,333751,291.9,5,9,3,16,11,7371,32,20,262167,9481.1,Legendary,Sovereign,OPT-01-T5,Afterburner Vector Pack Mk V,5670,OPT-10-T5,Point-Defense Mesh Mk V,18026,OPT-31-T5,Probe Bay Mk V,5670,37041737,37071103,"Galactic-scale destroyer / intimidation hull; flagship-grade no-wheels entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-349,Siege Beam Mk 5-T,WL-339,Siege Beam Mk 3-T,683326,362.2,377.2,CIV,DRIFT,civilian,92,Prototype,VEN-007,Guild Forge 1,shipyard,Fleet,Tier 5 - fleet budget,Military,Very High,385.5,Siege,4448532,14828441,Elite,typeclasses.vehicles.Spacecraft,vehicle/space/cap-gd,aetherion-galactic-destroyer-mk-v,space,capital-ships,galactic-destroyer,sector-intimidation-platform,military,legendary,sovereign,prototype,fleet,siege,,,,upsert,True
Glider,V-AIR-GL-AER-T5,Aetherion Glider Mk V,AIR-GL,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Glider,Light,cheap air transit,Aviation / Sci-Fi,Flight,Lift surface,None / tow,Aero hull,1,2,1,0.1,4.4,4.6,1.5,1.5,176,0,0,0.0,0.0,237,2.8,10,6,5,4,4,18,2,5,296,4.2,Rare,Restricted,OPT-02-T5,Silent Lift Coils Mk V,4082,OPT-10-T5,Point-Defense Mesh Mk V,18026,OPT-31-T5,Probe Bay Mk V,5670,43617,71395,"Glider base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-025,Pulse Laser Mk 5-L,WL-425,Flak Cloud Dispenser Mk 5-L,19976,5.7,14.7,NAVY,SEC,restricted,30,Uncommon,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Military,Low,18.7,Line,14279,14279,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/air-gl,aetherion-glider-mk-v,aerial,atmospheric-craft,glider,cheap-air-transit,military,rare,restricted,uncommon,crew,line,,,,upsert,True
Grav belt,V-PFL-GB-AER-T5,Aetherion Grav belt Mk V,PFL-GB,AER,Aetherion Guild,5,Military,Aerial,Personal Flight,Grav belt,Personal,urban personal flight,Sci-Fi / Adventure,Flight,Micro-grav nodes,Antimatter / Gravitic,Harness / light frame,1,2,0,0.03,1.3,0.6,0.3,0.08,162,0,0,0.0,0.0,92,0.6,10,5,6,2,4,7,2,4,140,4.1,Uncommon,Civilian,OPT-01-T5,Afterburner Vector Pack Mk V,5670,OPT-10-T5,Point-Defense Mesh Mk V,18026,OPT-30-T5,Jump Beacon Mk V,18514,4981,47191,"Grav belt base frame in the personal flight family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.0,6.0,CIV,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.0,Line,10382,9438,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/pfl-gb,aetherion-grav-belt-mk-v,aerial,personal-flight,grav-belt,urban-personal-flight,military,uncommon,civilian,common,crew,line,,,,upsert,True
Grav tank,V-HUV-GT-AER-T5,Aetherion Grav tank Mk V,HUV-GT,AER,Aetherion Guild,5,Military,Surface,Hover Utility,Grav tank,Light,heavy assault,Sci-Fi / Military,Hover,Repulsorlift fans,Antimatter / Gravitic,Armored skimmer hull,3,5,0,0.31,7.0,3.6,2.6,5.28,154,34,0,0.0,0.0,865,4.2,8,6,5,8,4,51,6,7,643,12.7,Rare,Military,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-25-T5,Missile Rack Mk V,15834,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,84619,113154,"Grav tank base frame in the hover utility family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,15.5,24.5,NAVY,SEC,restricted,38,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,28.5,Line,22631,31683,Regular,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/huv-gt,aetherion-grav-tank-mk-v,surface,hover-utility,grav-tank,heavy-assault,military,rare,military,uncommon,prosperity,line,,,,upsert,True
Grav-skates,V-PHV-GS-AER-T5,Aetherion Grav-skates Mk V,PHV-GS,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Grav-skates,Personal,stunt / courier,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,0,0.04,1.4,0.4,0.2,0.05,115,21,0,0.0,0.0,111,0.9,10,5,7,4,4,9,2,4,132,4.1,Uncommon,Civilian,OPT-16-T5,Astrogation Core Mk V,9526,OPT-31-T5,Probe Bay Mk V,5670,OPT-05-T5,Void Sail Trim Mk V,7258,3102,25556,"Grav-skates base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-001,Pulse Stunner Array,WL-002,Light Arc Carbine,2700,5.4,6.4,ARENA,CIV,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.4,Scout,5622,5111,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-gs,aetherion-grav-skates-mk-v,surface,personal-lift,grav-skates,stunt-courier,military,uncommon,civilian,common,crew,scout,,,,upsert,True
Gunship,V-AIR-GS-AER-T5,Aetherion Gunship Mk V,AIR-GS,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Gunship,Light,close support,Aviation / Sci-Fi,Flight,Turbine / gravitic,Antimatter / Gravitic,Aero hull,3,5,7,1.03,8.9,9.4,2.9,4.7,559,0,0,0.0,0.0,1459,3.1,10,6,5,6,4,65,8,6,893,16.7,Rare,Military,OPT-23-T5,Drone Rack Mk V,8165,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-31-T5,Probe Bay Mk V,5670,147284,176222,"Gunship base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-025,Pulse Laser Mk 5-L,WL-425,Flak Cloud Dispenser Mk 5-L,19976,19.9,28.9,NAVY,SEC,restricted,42,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,32.9,Line,35244,49342,Regular,typeclasses.vehicles.Aircraft,vehicle/aerial/air-gs,aetherion-gunship-mk-v,aerial,atmospheric-craft,gunship,close-support,military,rare,military,uncommon,prosperity,line,,,,upsert,True
Halo disc,V-PFL-HD-AER-T5,Aetherion Halo disc Mk V,PFL-HD,AER,Aetherion Guild,5,Military,Aerial,Personal Flight,Halo disc,Personal,elite courier,Sci-Fi / Adventure,Flight,Halo grav ring,Antimatter / Gravitic,Harness / light frame,1,2,0,0.04,1.4,0.7,0.4,0.09,176,0,0,0.0,0.0,93,0.6,10,6,8,2,4,9,2,4,143,4.1,Uncommon,Civilian,OPT-16-T5,Astrogation Core Mk V,9526,OPT-31-T5,Probe Bay Mk V,5670,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,5853,27853,"Halo disc base frame in the personal flight family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-001,Pulse Stunner Array,WL-002,Light Arc Carbine,2700,5.1,6.1,CIV,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.1,Scout,6128,5571,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/pfl-hd,aetherion-halo-disc-mk-v,aerial,personal-flight,halo-disc,elite-courier,military,uncommon,civilian,common,crew,scout,,,,upsert,True
Hive gunship,V-BIO-HG-AER-T5,Aetherion Hive gunship Mk V,BIO-HG,AER,Aetherion Guild,5,Military,Mixed,Organic Craft,Hive gunship,Light,bio-assault craft,Bio / Science Fantasy,Adaptive / Organic,Wing-muscle vectoring,Antimatter / Gravitic,Chitin lattice,1,2,1,0.37,6.5,3.5,2.9,2.69,382,28,0,3.0,0.0,2270,15.8,9,7,7,6,5,64,6,6,911,12.5,Rare,Military,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-27-T5,Bombardment Core Mk V,46872,OPT-05-T5,Void Sail Trim Mk V,7258,197132,267827,"Hive gunship base frame in the organic craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-345,Siege Beam Mk 5-L,WL-340,Siege Beam Mk 4-L,100416,15.9,24.9,NAVY,SEC,restricted,38,Uncommon,VEN-043,Arcane Atelier 1,atelier,Prosperity,Tier 2 - financed asset,Military,Moderate,28.9,Line,53565,74992,Regular,typeclasses.vehicles.Vehicle,vehicle/mixed/bio-hg,aetherion-hive-gunship-mk-v,mixed,organic-craft,hive-gunship,bio-assault-craft,military,rare,military,uncommon,prosperity,line,,,,upsert,True
Hover APC,V-HUV-AP-AER-T5,Aetherion Hover APC Mk V,HUV-AP,AER,Aetherion Guild,5,Military,Surface,Hover Utility,Hover APC,Light,troop carrier,Sci-Fi / Military,Hover,Repulsorlift fans,Antimatter / Gravitic,Armored skimmer hull,2,3,12,1.03,6.2,3.2,2.2,4.32,171,34,0,0.0,0.0,846,4.0,9,6,5,6,4,48,4,7,446,8.6,Rare,Restricted,OPT-04-T5,Hydrojet Overdrive Mk V,5897,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-32-T5,Science Lab Module Mk V,17296,65575,110692,"Hover APC base frame in the hover utility family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-385,EMP Projector Mk 5-L,WL-065,Coilgun Mk 5-L,23386,11.2,20.2,NAVY,SEC,restricted,34,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,24.2,Carrier,22138,30994,Regular,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/huv-ap,aetherion-hover-apc-mk-v,surface,hover-utility,hover-apc,troop-carrier,military,rare,restricted,uncommon,prosperity,carrier,,,,upsert,True
Hover cab,V-HUV-HC-AER-T5,Aetherion Hover cab Mk V,HUV-HC,AER,Aetherion Guild,5,Military,Surface,Hover Utility,Hover cab,Light,civilian transit,Sci-Fi / Military,Hover,Repulsorlift fans,Antimatter / Gravitic,Armored skimmer hull,1,2,5,0.41,4.8,2.5,1.7,2.82,175,35,0,0.0,0.0,805,3.9,9,6,5,4,4,35,4,6,293,8.4,Rare,Civilian,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-30-T5,Jump Beacon Mk V,18514,42564,90260,"Hover cab base frame in the hover utility family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,10.4,13.4,CIV,DRIFT,civilian,34,Uncommon,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,17.4,Line,18052,18052,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/huv-hc,aetherion-hover-cab-mk-v,surface,hover-utility,hover-cab,civilian-transit,military,rare,civilian,uncommon,crew,line,,,,upsert,True
Hover-board,V-PHV-HB-AER-T5,Aetherion Hover-board Mk V,PHV-HB,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,0,0.06,1.9,0.6,0.2,0.12,96,21,0,0.0,0.0,142,0.9,10,5,7,4,4,11,2,4,138,4.1,Uncommon,Civilian,OPT-02-T5,Silent Lift Coils Mk V,4082,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-31-T5,Probe Bay Mk V,5670,4448,26867,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.4,6.4,CIV,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.4,Line,5911,5373,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-v,surface,personal-lift,hover-board,personal-transit,military,uncommon,civilian,common,crew,line,,,,upsert,True
Hydrofoil courier,V-MAR-HF-AER-T5,Aetherion Hydrofoil courier Mk V,MAR-HF,AER,Aetherion Guild,5,Military,Maritime,Sea Vessels,Hydrofoil courier,Medium,rapid transit,Nautical / Sci-Fi,Displacement / Foil,Hydrojet / grav keel,Antimatter / Gravitic,Naval hull,3,5,14,3.09,15.9,4.9,4.0,57.71,104,133,29,0.0,0.0,2764,18.1,9,7,5,6,4,106,6,8,1288,18.6,Rare,Restricted,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-32-T5,Science Lab Module Mk V,17296,235518,276183,"Hydrofoil courier base frame in the sea vessels family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-221,Torpedo Tube Mk 4-M,WL-096,Missile Rack Mk 3-M,51012,17.5,26.5,NAVY,SEC,restricted,38,Uncommon,VEN-031,Pelagic Foundry 1,yard,Prosperity,Tier 2 - financed asset,Military,Moderate,30.5,Line,55237,77331,Regular,typeclasses.vehicles.Watercraft,vehicle/maritime/mar-hf,aetherion-hydrofoil-courier-mk-v,maritime,sea-vessels,hydrofoil-courier,rapid-transit,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Interceptor,V-AIR-IN-AER-T5,Aetherion Interceptor Mk V,AIR-IN,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Interceptor,Light,air superiority,Aviation / Sci-Fi,Flight,Turbine / gravitic,Antimatter / Gravitic,Aero hull,1,2,1,0.44,7.0,7.4,2.4,3.21,764,0,0,0.0,0.0,1396,3.1,10,6,5,4,4,33,6,6,509,12.5,Rare,Military,OPT-02-T5,Silent Lift Coils Mk V,4082,OPT-11-T5,Countermeasure Cloud Mk V,6577,OPT-30-T5,Jump Beacon Mk V,18514,96526,125699,"Interceptor base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-025,Pulse Laser Mk 5-L,WL-425,Flak Cloud Dispenser Mk 5-L,19976,14.3,23.3,NAVY,SEC,restricted,38,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,27.3,Line,25140,35196,Regular,typeclasses.vehicles.Aircraft,vehicle/aerial/air-in,aetherion-interceptor-mk-v,aerial,atmospheric-craft,interceptor,air-superiority,military,rare,military,uncommon,prosperity,line,,,,upsert,True
Jetpack rig,V-PFL-JP-AER-T5,Aetherion Jetpack rig Mk V,PFL-JP,AER,Aetherion Guild,5,Military,Aerial,Personal Flight,Jetpack rig,Personal,personal ascent / assault,Sci-Fi / Adventure,Flight,Vectored thrust,Fuel cell,Harness / light frame,1,2,0,0.04,1.5,0.7,0.4,0.11,132,0,0,0.0,0.0,95,0.6,10,5,6,2,4,9,2,4,145,4.1,Rare,Civilian,OPT-10-T5,Point-Defense Mesh Mk V,18026,OPT-27-T5,Bombardment Core Mk V,46872,OPT-01-T5,Afterburner Vector Pack Mk V,5670,6306,76874,"Jetpack rig base frame in the personal flight family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.1,6.1,NAVY,SEC,restricted,18,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.1,Line,16912,15375,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/pfl-jp,aetherion-jetpack-rig-mk-v,aerial,personal-flight,jetpack-rig,personal-ascent-assault,military,rare,civilian,common,crew,line,,,,upsert,True
Leviathan habitat ship,V-MAR-LH-AER-T5,Aetherion Leviathan habitat ship Mk V,MAR-LH,AER,Aetherion Guild,5,Military,Maritime,Sea Vessels,Leviathan habitat ship,Titanic,mobile city / habitat,Nautical / Sci-Fi,Displacement / Foil,Hydrojet / grav keel,Antimatter / Gravitic,Naval hull,102,139,2640,874.12,330.6,80.59999999999998,16.8,37800.0,91,39,51,0.0,0.0,3685,23.1,4,8,3,12,4,2268,14,20,50420,4280.9,Very Rare,Sovereign,OPT-20-T5,Luxury Cabin Suite Mk V,7031,OPT-21-T5,Field Med Bay Mk V,9979,OPT-32-T5,Science Lab Module Mk V,17296,2959991,2994297,"Leviathan habitat ship base frame in the sea vessels family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-224,Torpedo Tube Mk 4-T,WL-189,Grav Lance Mk 5-T,471920,120.7,129.7,DEEP,EXP,civilian,57,Rare,VEN-031,Pelagic Foundry 1,yard,Corporate,Tier 4 - strategic contract,Strategic,High,142.4,Siege,538973,1048004,Elite,typeclasses.vehicles.Watercraft,vehicle/maritime/mar-lh,aetherion-leviathan-habitat-ship-mk-v,maritime,sea-vessels,leviathan-habitat-ship,mobile-city-habitat,military,very-rare,sovereign,rare,corporate,siege,,,,upsert,True
Living manta carrier,V-SUB-MC-AER-T5,Aetherion Living manta carrier Mk V,SUB-MC,AER,Aetherion Guild,5,Military,Submersible,Undersea Craft,Living manta carrier,Capital,organic carrier,Bio / Sci-Fi,Submersible,Bio-thrusters,Antimatter / Gravitic,Living tissue,15,21,72,49.36,30.6,9.6,10.0,219.96,66,81,4960,0.0,0.0,2734,31.5,6,8,7,8,5,482,8,10,6373,40.9,Very Rare,Restricted,OPT-04-T5,Hydrojet Overdrive Mk V,5897,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-32-T5,Science Lab Module Mk V,17296,1234167,1279284,"Living manta carrier base frame in the undersea craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-143,Plasma Projector Mk 4-C,WL-178,Grav Lance Mk 3-C,195140,36.9,47.9,NAVY,SEC,restricted,50,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,52.4,Carrier,230271,358200,Veteran,typeclasses.vehicles.Watercraft,vehicle/submersible/sub-mc,aetherion-living-manta-carrier-mk-v,submersible,undersea-craft,living-manta-carrier,organic-carrier,military,very-rare,restricted,rare,industrial,carrier,,,,upsert,True
Living skiff,V-BIO-LS-AER-T5,Aetherion Living skiff Mk V,BIO-LS,AER,Aetherion Guild,5,Military,Mixed,Organic Craft,Living skiff,Light,coastal / orbital skiff,Bio / Science Fantasy,Adaptive / Organic,Muscle hydrojets / gas bladders,Antimatter / Gravitic,Living tissue,1,2,1,0.31,5.7,3.1,2.6,2.16,140,84,1240,8.1,0.2,2213,15.5,9,7,7,4,5,54,4,6,723,8.3,Rare,Restricted,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-30-T5,Jump Beacon Mk V,18514,150266,195467,"Living skiff base frame in the organic craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-345,Siege Beam Mk 5-L,WL-340,Siege Beam Mk 4-L,100416,11.3,20.3,NAVY,SEC,restricted,34,Uncommon,VEN-043,Arcane Atelier 1,atelier,Prosperity,Tier 2 - financed asset,Military,Moderate,24.3,Line,39093,54731,Regular,typeclasses.vehicles.Vehicle,vehicle/mixed/bio-ls,aetherion-living-skiff-mk-v,mixed,organic-craft,living-skiff,coastal-orbital-skiff,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
